9743426811; 1;2021,11,24; 5;
9743426811; 1;2021,10,17; 6;
9743104482; 3;2022,04,01; 56;
9743104482; 2;2022,01,02; #;
9743919804; 1;2021,09,30; 20;
9743919804; 5;2022,01,15; 15;
9750371322; 1;2019,11,27; 2;
9750371322; 2;2010,02,24; #;
9712332488; 2;2014,09,28; #;
9712332488; 2;2015,09,29; #;
9742434314; 1;2022,05,11; 2;
9742630548; 1;2022,01,14; 2;
9742630548; 1;2022,02,14; 4;
4904249071; 2;2022,11,21; 15;
9434777731; 1;2020,08,07; 2;
9944598243; 4;2020,12,13; 17;
9944598243; 2;2021,12,13; #;
9323472201; 5;2020,02,21; 5;
